,Título,Endereço,Número,Bairro,Cidade,Estado,Área,Quartos,Banheiros,Vagas,Preço
0,"Apartamento com 3 Quartos à Venda, 68m²",Avenida da República,5523,Guaíra,Curitiba,PR,68,3,2,2,R$ 410.000
1,MUV,Avenida Visconde de Guarapuava,3070,Centro,Curitiba,PR,20-36,1,1,--,A partir de     R$ 222.001
2,"Apartamento com 2 Quartos à Venda, 48m²",Rua Valentin Nichele,126,Pinheirinho,Curitiba,PR,48,2,1,1,R$ 320.000
3,"Apartamento com 2 Quartos à Venda, 62m²",Rua Professor Luiz César,1,Água Verde,Curitiba,PR,62,2,1,1,R$ 335.000
4,"Apartamento com 2 Quartos à Venda, 64m²",Rua Hildebrando de Araújo,189,Jardim Botânico,Curitiba,PR,64,2,2,1,R$ 388.000
5,"Apartamento com 2 Quartos à Venda, 63m²",Rua Francisco Rocha,1529,Bigorrilho,Curitiba,PR,63,2,2,1,R$ 610.000
6,"Apartamento com 2 Quartos à Venda, 10m²",N/I,N/I,Campo de Santana,Curitiba,PR,10,2,1,2,R$ 117.000
7,"Apartamento com 2 Quartos à Venda, 57m²",Rua Assis Figueiredo,N/I,Guaíra,Curitiba,PR,57,2,2,1,R$ 339.000
8,Mont Tannat,Avenida Visconde de Guarapuava,3116,Centro,Curitiba,PR,34-70,1-2,1-2,1-2,N/I
9,"Apartamento com 2 Quartos à Venda, 48m²",Rua Lothario Boutin,553,Pinheirinho,Curitiba,PR,48,2,2,1,R$ 250.000
10,"Apartamento com 2 Quartos à Venda, 56m²",Rua Professor Pedro Viriato Parigot de Souza,4554,Cidade Industrial,Curitiba,PR,56,2,2,1,R$ 350.000
11,"Apartamento com 2 Quartos à Venda, 66m²",Rua Carlos Klemtz,1410,Fazendinha,Curitiba,PR,66,2,1,1,R$ 230.000
12,"Apartamento com 2 Quartos à Venda, 80m²",Avenida Prefeito Maurício Fruet,1270,Cajuru,Curitiba,PR,80,2,2,2,R$ 590.000
13,"Apartamento com 3 Quartos à Venda, 105m²",Rua Candido Lopes,231,Centro,Curitiba,PR,105,3,2,--,R$ 349.900
14,"Apartamento com 2 Quartos à Venda, 56m²",Rua Eduardo Pinto da Rocha,3198,Sitio Cercado,Curitiba,PR,56,2,1,1,R$ 156.989      Preço abaixo do mercado
15,Residencial Mont Tannat - 35m²,Avenida Visconde de Guarapuava,3130,Centro,Curitiba,PR,35,1,1,--,R$ 365.230
16,"Apartamento com 2 Quartos à Venda, 57m²",Rua Francisco Raitani,7187,Capão Raso,Curitiba,PR,57,2,1,1,R$ 315.000
17,"Apartamento com 3 Quartos à Venda, 91m²",Rua Palmeiras,86,Água Verde,Curitiba,PR,91,3,3,1,R$ 630.000
18,"Apartamento com 3 Quartos à Venda, 106m²",Rua Canadá,533,Bacacheri,Curitiba,PR,106,3,3,2,R$ 980.499
19,"Apartamento com 2 Quartos à Venda, 52m²",Rua Eduardo Carlos Pereira,N/I,Portão,Curitiba,PR,52,2,1,1,R$ 280.000      Preço abaixo do mercado
20,"Apartamento com 2 Quartos à Venda, 47m²",Rua Desembargador Cid Campelo,N/I,Cidade Industrial,Curitiba,PR,47,2,2,1,R$ 210.000
21,"Apartamento com 3 Quartos à Venda, 61m²",Rua Odair Pazello,234,Capão Raso,Curitiba,PR,61,3,1,1,R$ 249.000      Preço abaixo do mercado
22,"Apartamento com 2 Quartos à Venda, 57m²",Rua Assis Figueiredo,1315,Guaíra,Curitiba,PR,57,2,1,1,R$ 349.000
23,"Apartamento com 3 Quartos à Venda, 156m²",Rua Palmeiras,725,Água Verde,Curitiba,PR,156,3,4,2,R$ 1.070.000      Preço abaixo do mercado
24,"Apartamento com 2 Quartos à Venda, 53m²",Rua Coronel Pretextato Pena Forte Taborda Ribas,385,Santa Quitéria,Curitiba,PR,53,2,1,1,R$ 410.000
25,"Apartamento com 2 Quartos à Venda, 64m²",Rua Arnaldo Thá,233,Fazendinha,Curitiba,PR,64,2,1,1,R$ 350.000
26,"Apartamento com 3 Quartos à Venda, 49m²",Rua João Dembinski,2380,Campo Comprido,Curitiba,PR,49,3,1,1,R$ 180.000
27,"Apartamento com 3 Quartos à Venda, 71m²",Rua Pedro Américo,175,Capão Raso,Curitiba,PR,71,3,1,1,R$ 299.900      Preço abaixo do mercado
28,"Apartamento com 3 Quartos à Venda, 65m²",Rua Lothario Boutin,111,Pinheirinho,Curitiba,PR,65,3,1,--,R$ 260.000
29,"Apartamento com 2 Quartos à Venda, 57m²",Rua Assis Figueiredo,N/I,Guaíra,Curitiba,PR,57,2,2,1,R$ 339.000
30,"Apartamento com 3 Quartos à Venda, 100m²",Avenida Senador Souza Naves,1035,Cristo Rei,Curitiba,PR,100,3,2,1,R$ 460.000      Preço abaixo do mercado
31,"Apartamento com 2 Quartos à Venda, 41m²",Rua Nicolau Vorobi,235,Cidade Industrial,Curitiba,PR,41,2,1,1,R$ 152.000
32,"Apartamento com 3 Quartos à Venda, 86m²",Rua Alcino Guanabara,2100,Hauer,Curitiba,PR,86,3,2,1,R$ 320.000      Preço abaixo do mercado
33,"Apartamento com 3 Quartos à Venda, 88m²",Avenida Vicente Machado,2696,Campina do Siqueira,Curitiba,PR,88,3,2,1,R$ 320.000      Preço abaixo do mercado
34,"Apartamento com 2 Quartos à Venda, 64m²",Rua Engenheiros Rebouças,233,Jardim Botânico,Curitiba,PR,64,2,2,1,R$ 400.000
35,"Apartamento com 3 Quartos à Venda, 107m²",Avenida Paraná,1670,Bacacheri,Curitiba,PR,107,3,3,2,R$ 850.000      Preço abaixo do mercado
36,"Apartamento com 2 Quartos à Venda, 70m²",Rua Urbano Lopes,N/I,Cristo Rei,Curitiba,PR,70,2,1,1,R$ 490.000
37,Residencial Mont Tannat - 70m²,Avenida Visconde de Guarapuava,3130,Centro,Curitiba,PR,70,2,2,1,R$ 850.600
38,"Apartamento com 3 Quartos à Venda, 119m²",Rua João Américo de Oliveira,N/I,Hugo Lange,Curitiba,PR,119,3,3,2,R$ 1.360.000
39,"Apartamento com  Quarto à Venda, 34m²",Alameda Doutor Muricy,73,Centro,Curitiba,PR,34,1,1,--,R$ 280.000
40,"Apartamento com 3 Quartos à Venda, 71m²",Rua Rio Iriri,10,Bairro Alto,Curitiba,PR,71,3,1,1,R$ 276.900
